tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
504,2019-01-07 07:54:27.0100,2019-01-07 08:02:51.9360,3649.0,W 129 St & Convent Ave,40.814394437915816,-73.95324736833572,3507.0,Park Ave & E 124 St,40.8045555,-73.9396861,31898,Subscriber,1989,1
314,2019-01-14 19:11:12.1360,2019-01-14 19:16:26.8900,3671.0,E 81 St & 2 Ave,40.77477944895728,-73.95427465438843,3150.0,E 85 St & York Ave,40.77536905,-73.94803392,33899,Subscriber,1990,1
409,2019-01-24 18:45:47.1630,2019-01-24 18:52:36.5570,517.0,Pershing Square South,40.751581,-73.97791,498.0,Broadway & W 32 St,40.74854862,-73.98808416,33052,Subscriber,1980,1
815,2019-01-23 12:35:05.7880,2019-01-23 12:48:41.4180,3144.0,E 81 St & Park Ave,40.77677702,-73.9590097,2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151,33881,Subscriber,1974,1
351,2019-01-10 18:15:09.1290,2019-01-10 18:21:00.4590,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,519.0,Pershing Square North,40.751873,-73.977706,15269,Subscriber,1963,1
152,2019-01-16 17:44:17.0040,2019-01-16 17:46:49.2450,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,30259,Subscriber,1965,1
1439,2019-01-29 11:51:45.4260,2019-01-29 12:15:44.5620,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,3294.0,E 91 St & Park Ave,40.7835016,-73.955327,27440,Subscriber,1958,1
648,2019-01-13 18:14:23.9590,2019-01-13 18:25:12.5280,244.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,467.0,Dean St & 4 Ave,40.68312489,-73.97895137,19074,Subscriber,1984,1
221,2019-01-04 23:12:30.7890,2019-01-04 23:16:12.4850,460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,532.0,S 5 Pl & S 5 St,40.710451,-73.960876,27821,Subscriber,1993,1
327,2019-01-16 17:48:36.7120,2019-01-16 17:54:03.9250,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,21375,Subscriber,1996,2
979,2019-01-25 12:34:32.1810,2019-01-25 12:50:51.9160,3718.0,E 11 St & Avenue B,40.72746420692392,-73.97950418293476,3461.0,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,27689,Subscriber,1992,1
689,2019-01-17 08:27:58.9290,2019-01-17 08:39:28.4750,3236.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,359.0,E 47 St & Park Ave,40.75510267,-73.97498696,32538,Subscriber,1952,1
276,2019-01-27 16:24:17.0680,2019-01-27 16:28:53.4200,312.0,Allen St & Stanton St,40.722055,-73.989111,439.0,E 4 St & 2 Ave,40.7262807,-73.98978041,33329,Subscriber,1993,1
687,2019-01-07 20:24:37.9460,2019-01-07 20:36:05.3580,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,35363,Subscriber,1955,2
736,2019-01-10 09:11:29.0990,2019-01-10 09:23:45.9760,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,533.0,Broadway & W 38 St,40.75299641,-73.98721619,27801,Subscriber,1989,1
111,2019-01-19 12:09:20.1430,2019-01-19 12:11:12.1250,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,30660,Subscriber,2001,1
520,2019-01-07 19:10:49.3770,2019-01-07 19:19:30.1020,519.0,Pershing Square North,40.751873,-73.977706,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,32038,Subscriber,1960,1
330,2019-01-28 16:12:41.0300,2019-01-28 16:18:11.7460,382.0,University Pl & E 14 St,40.73492695,-73.99200509,3472.0,W 15 St & 10 Ave,40.74275382865903,-74.00747358798981,34000,Subscriber,1969,0
531,2019-01-02 21:01:43.7450,2019-01-02 21:10:35.6680,497.0,E 17 St & Broadway,40.73704984,-73.99009296,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,17530,Subscriber,1986,1
633,2019-01-15 15:05:40.5400,2019-01-15 15:16:14.0870,519.0,Pershing Square North,40.751873,-73.977706,3141.0,1 Ave & E 68 St,40.76500525,-73.95818491,30380,Subscriber,1978,1
1164,2019-01-11 18:59:30.3760,2019-01-11 19:18:54.8040,402.0,Broadway & E 22 St,40.7403432,-73.98955109,481.0,S 3 St & Bedford Ave,40.71260486,-73.96264403,15486,Subscriber,1982,1
387,2019-01-13 10:29:35.9630,2019-01-13 10:36:03.9080,3511.0,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,3424.0,E 106 St & Lexington Ave,40.791976,-73.945993,31980,Subscriber,1998,1
570,2019-01-07 13:31:37.8460,2019-01-07 13:41:08.0510,3418.0,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,3601.0,Sterling St & Bedford Ave,40.6627059,-73.9569115,29799,Subscriber,1979,1
420,2019-01-28 20:56:43.7190,2019-01-28 21:03:44.3580,513.0,W 56 St & 10 Ave,40.768254,-73.988639,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,35359,Subscriber,1982,1
1133,2019-01-19 09:16:06.6580,2019-01-19 09:35:00.3120,379.0,W 31 St & 7 Ave,40.749156,-73.9916,531.0,Forsyth St & Broome St,40.71893904,-73.99266288,35263,Subscriber,1969,1
397,2019-01-12 17:33:18.9380,2019-01-12 17:39:56.3750,3354.0,3 St & Prospect Park West,40.668132,-73.97363831,3310.0,14 St & 7 Ave,40.663779,-73.98396846,28879,Subscriber,1990,1
101,2019-01-04 16:26:31.1070,2019-01-04 16:28:12.2780,386.0,Centre St & Worth St,40.71494807,-74.00234482,387.0,Centre St & Chambers St,40.71273266,-74.0046073,17914,Subscriber,1985,1
241,2019-01-25 17:08:52.6330,2019-01-25 17:12:53.6960,82.0,St James Pl & Pearl St,40.71117416,-74.00016545,355.0,Bayard St & Baxter St,40.71602118,-73.99974372,33582,Subscriber,1986,1
723,2019-01-26 13:36:08.1180,2019-01-26 13:48:11.8660,268.0,Howard St & Centre St,40.71910537,-73.99973337,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,27733,Subscriber,1979,1
794,2019-01-14 07:40:06.0640,2019-01-14 07:53:20.1660,229.0,Great Jones St,40.72743423,-73.99379025,536.0,1 Ave & E 30 St,40.74144387,-73.97536082,32272,Subscriber,1982,1
106,2019-01-06 19:37:01.8640,2019-01-06 19:38:48.7080,3664.0,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,276.0,Duane St & Greenwich St,40.71748752,-74.0104554,26118,Subscriber,1963,1
377,2019-01-23 18:44:31.5420,2019-01-23 18:50:49.2090,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,19417,Subscriber,1993,1
1296,2019-01-30 14:27:11.7380,2019-01-30 14:48:48.6010,3420.0,Douglass St & 3 Ave,40.6802133,-73.98432695,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,35787,Subscriber,1976,2
1224,2019-01-10 16:32:48.2750,2019-01-10 16:53:12.4760,282.0,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,32472,Customer,1983,1
561,2019-01-08 18:30:49.0810,2019-01-08 18:40:10.8900,3372.0,E 74 St & 1 Ave,40.7689738,-73.95482273,3165.0,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,27930,Subscriber,1988,1
475,2019-01-29 11:04:14.2230,2019-01-29 11:12:09.7910,468.0,Broadway & W 56 St,40.7652654,-73.98192338,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,34822,Subscriber,1977,1
208,2019-01-01 11:23:55.4300,2019-01-01 11:27:24.0330,3369.0,E 82 St & East End Ave,40.7724607,-73.9468208,3290.0,E 89 St & York Ave,40.7779453,-73.946041,35584,Subscriber,1962,1
1568,2019-01-12 09:10:51.1940,2019-01-12 09:36:59.8940,3328.0,W 100 St & Manhattan Ave,40.795,-73.9645,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,34789,Subscriber,1981,2
64,2019-01-23 08:48:00.9240,2019-01-23 08:49:05.9110,3346.0,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629,3663.0,Sterling Pl & 7 Ave,40.67716489469059,-73.973827958107,25591,Subscriber,1977,1
